,Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
51,1901,-0.29342857,-0.42967388,-0.15718324
52,1902,-0.43898427,-0.5754281,-0.30254042
53,1903,-0.5333264,-0.66081935,-0.40583345
54,1904,-0.5975614,-0.7288325,-0.46629035
55,1905,-0.40775132,-0.5350291,-0.28047356
56,1906,-0.3191393,-0.45052385,-0.18775477
57,1907,-0.5041577,-0.6262818,-0.38203365
58,1908,-0.5138707,-0.63748026,-0.3902612
59,1909,-0.5357649,-0.6526296,-0.41890016
60,1910,-0.5310242,-0.6556868,-0.40636164
61,1911,-0.5392051,-0.66223973,-0.4161705
62,1912,-0.47567302,-0.5893311,-0.36201498
63,1913,-0.46715254,-0.5893755,-0.34492958
64,1914,-0.2625924,-0.38276345,-0.1424214
65,1915,-0.19184391,-0.32196194,-0.06172589
66,1916,-0.42020997,-0.5588941,-0.28152588
67,1917,-0.54301953,-0.6921192,-0.3939199
68,1918,-0.42458433,-0.58198184,-0.26718682
69,1919,-0.32551822,-0.48145813,-0.1695783
70,1920,-0.2985808,-0.44860035,-0.14856121
71,1921,-0.24067703,-0.38175339,-0.09960067
72,1922,-0.33922812,-0.46610323,-0.21235302
73,1923,-0.31793055,-0.444173,-0.1916881
74,1924,-0.3120622,-0.4388317,-0.18529275
75,1925,-0.28242525,-0.4147755,-0.15007503
76,1926,-0.12283547,-0.25264767,0.006976739
77,1927,-0.22940508,-0.35135695,-0.10745319
78,1928,-0.20676155,-0.33881804,-0.074705064
79,1929,-0.39275664,-0.52656746,-0.25894582
80,1930,-0.1768054,-0.29041144,-0.06319936
81,1931,-0.10339768,-0.2126916,0.0058962475
82,1932,-0.14546166,-0.25195515,-0.0389682
83,1933,-0.32234442,-0.4271004,-0.21758842
84,1934,-0.17433685,-0.27400395,-0.07466974
85,1935,-0.20605922,-0.30349734,-0.10862111
86,1936,-0.16952093,-0.26351926,-0.07552261
87,1937,-0.01919893,-0.11975875,0.08136089
88,1938,-0.012200732,-0.11030374,0.08590227
89,1939,-0.040797167,-0.14670466,0.065110326
90,1940,0.07593584,-0.04194966,0.19382134
91,1941,0.038129337,-0.16225387,0.23851255
92,1942,0.0014060909,-0.1952124,0.19802457
93,1943,0.0064140745,-0.19959097,0.21241911
94,1944,0.14410514,-0.054494828,0.3427051
95,1945,0.043088365,-0.15728289,0.24345961
96,1946,-0.1188128,-0.2659574,0.028331792
97,1947,-0.091205545,-0.23179041,0.04937931
98,1948,-0.12466127,-0.25913337,0.009810844
99,1949,-0.14380224,-0.2540775,-0.033526987
100,1950,-0.22662179,-0.33265698,-0.12058662
101,1951,-0.06115397,-0.15035024,0.028042298
102,1952,0.015354565,-0.08293597,0.11364509
103,1953,0.07763074,-0.020529618,0.1757911
104,1954,-0.11675021,-0.20850271,-0.024997713
105,1955,-0.19730993,-0.28442997,-0.1101899
106,1956,-0.2631656,-0.33912563,-0.18720557
