Year,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
1992,22.5333,127.4965,1.8778,36.8051
1992.0833,22.5333,127.4965,3.7556,52.0502
1992.1667,22.5333,127.4965,5.6333,63.7483
1992.25,-138.422,118.0717,-5.9018,72.2882
1992.3333,-138.422,118.0717,-17.437,79.9208
1992.4167,-63.229,102.8949,-22.7061,85.262
1992.5,-63.229,102.8949,-27.9752,90.2878
1992.5833,-63.229,102.8949,-33.2442,95.0483
1992.6667,-63.229,102.8949,-38.5133,99.5814
1992.75,-63.229,102.8949,-43.7824,103.9169
1992.8333,-63.229,102.8949,-49.0515,108.0787
1992.9167,-63.229,102.8949,-54.3206,112.0861
1993,-104.5494,103.9689,-63.033,116.0348
1993.0833,-104.5494,103.9689,-71.7455,119.8536
1993.1667,-104.5494,103.9689,-80.458,123.5543
1993.25,-104.5494,103.9689,-89.1704,127.1474
1993.3333,-104.5494,103.9689,-97.8829,130.6417
1993.4167,-104.5494,103.9689,-106.5953,134.045
1993.5,-104.5494,103.9689,-115.3078,137.3639
1993.5833,-104.5494,103.9689,-124.0202,140.6046
1993.6667,-104.5494,103.9689,-132.7327,143.7722
1993.75,-104.5494,103.9689,-141.4451,146.8715
1993.8333,-104.5494,103.9689,-150.1576,149.9068
1993.9167,-104.5494,103.9689,-158.87,152.8817
1994,-195.5413,102.8685,-175.1651,155.7391
1994.0833,-195.5413,102.8685,-191.4603,158.5449
1994.1667,-195.5413,102.8685,-207.7554,161.3019
1994.25,-195.5413,102.8685,-224.0505,164.0126
1994.3333,-195.5413,102.8685,-240.3456,166.6792
1994.4167,-195.5413,102.8685,-256.6407,169.3038
1994.5,-195.5413,102.8685,-272.9358,171.8884
1994.5833,-195.5413,102.8685,-289.2309,174.4347
1994.6667,-195.5413,102.8685,-305.526,176.9443
1994.75,-195.5413,102.8685,-321.8211,179.4188
1994.8333,-195.5413,102.8685,-338.1163,181.8596
1994.9167,-195.5413,102.8685,-354.4114,184.2682
1995,-142.9034,116.2499,-366.32,187.299
1995.0833,-142.9034,116.2499,-378.2286,190.2816
1995.1667,-142.9034,116.2499,-390.1372,193.2182
1995.25,-142.9034,116.2499,-402.0458,196.1108
1995.3333,-142.9034,116.2499,-413.9544,198.9613
1995.4167,-116.3054,116.1306,-423.6466,201.7659
1995.5,-116.3054,116.1306,-433.3387,204.532
1995.5833,-116.3054,116.1306,-443.0308,207.2612
1995.6667,-116.3054,116.1306,-452.7229,209.9549
1995.75,-116.3054,116.1306,-462.415,212.6145
1995.8333,-116.3054,116.1306,-472.1071,215.2412
1995.9167,-116.3054,116.1306,-481.7992,217.8362
1996,-59.9941,117.225,-486.7987,220.449
1996.0833,-59.9941,117.225,-491.7983,223.0312
1996.1667,-59.9941,117.225,-496.7978,225.5838
1996.25,-59.9941,117.225,-501.7973,228.1079
1996.3333,-59.9941,117.225,-506.7968,230.6043
1996.4167,-59.9941,117.225,-511.7963,233.074
1996.5,-29.3271,117.1295,-514.2402,235.5138
1996.5833,-29.3271,117.1295,-516.6841,237.9286
1996.6667,-29.3271,117.1295,-519.1281,240.3192
1996.75,-29.3271,117.1295,-521.572,242.6862
1996.8333,-29.3271,117.1295,-524.0159,245.0303
1996.9167,-29.3271,117.1295,-526.4598,247.3523
1997,-12.2324,117.5744,-527.4792,249.67
1997.0833,-12.2324,117.5744,-528.4986,251.9665
1997.1667,-12.2324,117.5744,-529.5179,254.2422
1997.25,-12.2324,117.5744,-530.5373,256.4977
1997.3333,-12.2324,117.5744,-531.5566,258.7335
1997.4167,-12.2324,117.5744,-532.576,260.9502
1997.5,-12.2324,117.5744,-533.5954,263.1482
1997.5833,-12.2324,117.5744,-534.6147,265.3281
1997.6667,-12.2324,117.5744,-535.6341,267.4901
1997.75,-12.2324,117.5744,-536.6535,269.6348
1997.8333,-12.2324,117.5744,-537.6728,271.7626
1997.9167,-12.2324,117.5744,-538.6922,273.8739
1998,-67.4408,118.0534,-544.3123,275.986
1998.0833,-67.4408,118.0534,-549.9323,278.0821
1998.1667,-67.4408,118.0534,-555.5524,280.1625
1998.25,-67.4408,118.0534,-561.1725,282.2276
1998.3333,-67.4408,118.0534,-566.7925,284.2777
1998.4167,-67.4408,118.0534,-572.4126,286.3131
1998.5,-67.4408,118.0534,-578.0327,288.3341
1998.5833,-67.4408,118.0534,-583.6527,290.3411
1998.6667,-67.4408,118.0534,-589.2728,292.3343
1998.75,-67.4408,118.0534,-594.8929,294.314
1998.8333,-67.4408,118.0534,-600.513,296.2805
1998.9167,-67.4408,118.0534,-606.133,298.234
1999,-95.2343,118.5236,-614.0692,300.1902
1999.0833,-95.2343,118.5236,-622.0054,302.1338
1999.1667,-95.2343,118.5236,-629.9416,304.0649
1999.25,-95.2343,118.5236,-637.8778,305.9839
1999.3333,-95.2343,118.5236,-645.814,307.8908
1999.4167,-95.2343,118.5236,-653.7502,309.7861
1999.5,-95.2343,118.5236,-661.6864,311.6698
1999.5833,-95.2343,118.5236,-669.6225,313.5422
1999.6667,-95.2343,118.5236,-677.5587,315.4035
1999.75,-95.2343,118.5236,-685.4949,317.2539
1999.8333,-95.2343,118.5236,-693.4311,319.0936
1999.9167,-95.2343,118.5236,-701.3673,320.9227
2000,-53.6255,116.2515,-705.8361,322.6725
2000.0833,-53.6255,116.2515,-710.3049,324.4129
2000.1667,-53.6255,116.2515,-714.7737,326.1441
2000.25,-53.6255,116.2515,-719.2425,327.8661
2000.3333,-53.6255,116.2515,-723.7113,329.5791
2000.4167,-53.6255,116.2515,-728.18,331.2832
2000.5,-53.6255,116.2515,-732.6488,332.9786
2000.5833,-53.6255,116.2515,-737.1176,334.6654
2000.6667,-53.6255,116.2515,-741.5864,336.3438
2000.75,-53.6255,116.2515,-746.0552,338.0138
2000.8333,-53.6255,116.2515,-750.524,339.6757
2000.9167,-53.6255,116.2515,-754.9928,341.3294
