Year,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance (mm),Cumulative mass balance uncertainty (mm)
1992,-0.06,-0.35,-0.01,-0.1
1992.0833,-0.06,-0.35,-0.01,-0.14
1992.1667,-0.06,-0.35,-0.02,-0.18
1992.25,0.38,-0.33,0.02,-0.2
1992.3333,0.38,-0.33,0.05,-0.22
1992.4167,0.18,-0.29,0.06,-0.24
1992.5,0.18,-0.29,0.08,-0.25
1992.5833,0.18,-0.29,0.09,-0.26
1992.6667,0.18,-0.29,0.11,-0.28
1992.75,0.18,-0.29,0.12,-0.29
1992.8333,0.18,-0.29,0.14,-0.3
1992.9167,0.18,-0.29,0.15,-0.31
1993,0.29,-0.29,0.18,-0.32
1993.0833,0.29,-0.29,0.2,-0.33
1993.1667,0.29,-0.29,0.22,-0.34
1993.25,0.29,-0.29,0.25,-0.35
1993.3333,0.29,-0.29,0.27,-0.36
1993.4167,0.29,-0.29,0.3,-0.37
1993.5,0.29,-0.29,0.32,-0.38
1993.5833,0.29,-0.29,0.34,-0.39
1993.6667,0.29,-0.29,0.37,-0.4
1993.75,0.29,-0.29,0.39,-0.41
1993.8333,0.29,-0.29,0.42,-0.42
1993.9167,0.29,-0.29,0.44,-0.42
1994,0.54,-0.29,0.49,-0.43
1994.0833,0.54,-0.29,0.53,-0.44
1994.1667,0.54,-0.29,0.58,-0.45
1994.25,0.54,-0.29,0.62,-0.46
1994.3333,0.54,-0.29,0.67,-0.46
1994.4167,0.54,-0.29,0.71,-0.47
1994.5,0.54,-0.29,0.76,-0.48
1994.5833,0.54,-0.29,0.8,-0.48
1994.6667,0.54,-0.29,0.85,-0.49
1994.75,0.54,-0.29,0.89,-0.5
1994.8333,0.54,-0.29,0.94,-0.51
1994.9167,0.54,-0.29,0.98,-0.51
1995,0.4,-0.32,1.02,-0.52
1995.0833,0.4,-0.32,1.05,-0.53
1995.1667,0.4,-0.32,1.08,-0.54
1995.25,0.4,-0.32,1.12,-0.54
1995.3333,0.4,-0.32,1.15,-0.55
1995.4167,0.32,-0.32,1.18,-0.56
1995.5,0.32,-0.32,1.2,-0.57
1995.5833,0.32,-0.32,1.23,-0.58
1995.6667,0.32,-0.32,1.26,-0.58
1995.75,0.32,-0.32,1.28,-0.59
1995.8333,0.32,-0.32,1.31,-0.6
1995.9167,0.32,-0.32,1.34,-0.61
1996,0.17,-0.33,1.35,-0.61
1996.0833,0.17,-0.33,1.37,-0.62
1996.1667,0.17,-0.33,1.38,-0.63
1996.25,0.17,-0.33,1.39,-0.63
1996.3333,0.17,-0.33,1.41,-0.64
1996.4167,0.17,-0.33,1.42,-0.65
1996.5,0.08,-0.33,1.43,-0.65
1996.5833,0.08,-0.33,1.44,-0.66
1996.6667,0.08,-0.33,1.44,-0.67
1996.75,0.08,-0.33,1.45,-0.67
1996.8333,0.08,-0.33,1.46,-0.68
1996.9167,0.08,-0.33,1.46,-0.69
1997,0.03,-0.33,1.47,-0.69
1997.0833,0.03,-0.33,1.47,-0.7
1997.1667,0.03,-0.33,1.47,-0.71
1997.25,0.03,-0.33,1.47,-0.71
1997.3333,0.03,-0.33,1.48,-0.72
1997.4167,0.03,-0.33,1.48,-0.72
1997.5,0.03,-0.33,1.48,-0.73
1997.5833,0.03,-0.33,1.49,-0.74
1997.6667,0.03,-0.33,1.49,-0.74
1997.75,0.03,-0.33,1.49,-0.75
1997.8333,0.03,-0.33,1.49,-0.75
1997.9167,0.03,-0.33,1.5,-0.76
1998,0.19,-0.33,1.51,-0.77
1998.0833,0.19,-0.33,1.53,-0.77
1998.1667,0.19,-0.33,1.54,-0.78
1998.25,0.19,-0.33,1.56,-0.78
1998.3333,0.19,-0.33,1.57,-0.79
1998.4167,0.19,-0.33,1.59,-0.8
1998.5,0.19,-0.33,1.61,-0.8
1998.5833,0.19,-0.33,1.62,-0.81
1998.6667,0.19,-0.33,1.64,-0.81
1998.75,0.19,-0.33,1.65,-0.82
1998.8333,0.19,-0.33,1.67,-0.82
1998.9167,0.19,-0.33,1.68,-0.83
1999,0.26,-0.33,1.71,-0.83
1999.0833,0.26,-0.33,1.73,-0.84
1999.1667,0.26,-0.33,1.75,-0.84
1999.25,0.26,-0.33,1.77,-0.85
1999.3333,0.26,-0.33,1.79,-0.86
1999.4167,0.26,-0.33,1.82,-0.86
1999.5,0.26,-0.33,1.84,-0.87
1999.5833,0.26,-0.33,1.86,-0.87
1999.6667,0.26,-0.33,1.88,-0.88
1999.75,0.26,-0.33,1.9,-0.88
1999.8333,0.26,-0.33,1.93,-0.89
1999.9167,0.26,-0.33,1.95,-0.89
2000,0.15,-0.32,1.96,-0.9
2000.0833,0.15,-0.32,1.97,-0.9
2000.1667,0.15,-0.32,1.99,-0.91
2000.25,0.15,-0.32,2,-0.91
2000.3333,0.15,-0.32,2.01,-0.92
2000.4167,0.15,-0.32,2.02,-0.92
2000.5,0.15,-0.32,2.04,-0.92
2000.5833,0.15,-0.32,2.05,-0.93
2000.6667,0.15,-0.32,2.06,-0.93
2000.75,0.15,-0.32,2.07,-0.94
2000.8333,0.15,-0.32,2.08,-0.94
2000.9167,0.15,-0.32,2.1,-0.95
2001,0.3,-0.33,2.12,-0.95
2001.0833,0.3,-0.33,2.15,-0.96
2001.1667,0.3,-0.33,2.17,-0.96
2001.25,0.3,-0.33,2.2,-0.97
2001.3333,0.3,-0.33,2.22,-0.97
2001.4167,0.3,-0.33,2.25,-0.98
2001.5,0.3,-0.33,2.27,-0.98
2001.5833,0.3,-0.33,2.3,-0.99
2001.6667,0.3,-0.33,2.32,-0.99
2001.75,0.3,-0.33,2.35,-0.99
2001.8333,0.3,-0.33,2.37,-1
2001.9167,0.3,-0.33,2.4,-1
2002,0.44,-0.37,2.43,-1.01
2002.0833,0.44,-0.37,2.47,-1.01
2002.1667,0.44,-0.37,2.51,-1.02
2002.25,0.44,-0.37,2.54,-1.03
2002.3333,0.44,-0.37,2.58,-1.03
2002.4167,0.47,-0.37,2.62,-1.04
2002.5,0.47,-0.37,2.66,-1.04
2002.5833,0.47,-0.37,2.7,-1.05
2002.6667,0.47,-0.37,2.74,-1.05
2002.75,0.47,-0.37,2.78,-1.06
2002.8333,0.47,-0.37,2.82,-1.06
2002.9167,0.47,-0.37,2.86,-1.07
2003,0.58,-0.38,2.9,-1.07
2003.0833,0.6,-0.37,2.95,-1.08
2003.1667,0.62,-0.37,3,-1.09
2003.25,0.6,-0.34,3.05,-1.09
2003.3333,0.6,-0.34,3.1,-1.09
2003.4167,0.6,-0.34,3.15,-1.1
2003.5,0.6,-0.34,3.2,-1.1
2003.5833,0.62,-0.34,3.26,-1.11
2003.6667,0.63,-0.34,3.31,-1.11
2003.75,0.71,-0.35,3.37,-1.12
2003.8333,0.7,-0.35,3.43,-1.12
2003.9167,0.68,-0.35,3.48,-1.12
2004,0.68,-0.35,3.54,-1.13
2004.0833,0.68,-0.35,3.6,-1.13
2004.1667,0.69,-0.35,3.65,-1.14
2004.25,0.7,-0.35,3.71,-1.14
2004.3333,0.7,-0.35,3.77,-1.15
2004.4167,0.7,-0.36,3.83,-1.15
2004.5,0.7,-0.36,3.89,-1.16
2004.5833,0.71,-0.35,3.95,-1.16
2004.6667,0.71,-0.35,4.01,-1.17
