,ObjectId,Country,ISO2,ISO3,Unit,Measure,Date,Value,Year,Month,Day
20,21,World,,WLD,Millimeters,World,12/17/1992,-15.95,1992,12,17
47,48,World,,WLD,Millimeters,World,12/27/1992,-17.65,1992,12,27
71,72,World,,WLD,Millimeters,World,01/05/1993,-14.55,1993,1,5
93,94,World,,WLD,Millimeters,World,01/15/1993,-19.55,1993,1,15
122,123,World,,WLD,Millimeters,World,01/25/1993,-24.95,1993,1,25
147,148,World,,WLD,Millimeters,World,02/05/1993,-29.05,1993,2,5
172,173,World,,WLD,Millimeters,World,02/14/1993,-27.35,1993,2,14
195,196,World,,WLD,Millimeters,World,02/24/1993,-21.55,1993,2,24
222,223,World,,WLD,Millimeters,World,03/06/1993,-18.65,1993,3,6
247,248,World,,WLD,Millimeters,World,03/16/1993,-19.15,1993,3,16
272,273,World,,WLD,Millimeters,World,03/26/1993,-22.65,1993,3,26
297,298,World,,WLD,Millimeters,World,04/15/1993,-25.95,1993,4,15
313,314,World,,WLD,Millimeters,World,04/24/1993,-19.75,1993,4,24
344,345,World,,WLD,Millimeters,World,05/04/1993,-19.55,1993,5,4
370,371,World,,WLD,Millimeters,World,05/14/1993,-16.85,1993,5,14
397,398,World,,WLD,Millimeters,World,05/24/1993,-21.75,1993,5,24
420,421,World,,WLD,Millimeters,World,06/03/1993,-26.45,1993,6,3
447,448,World,,WLD,Millimeters,World,06/13/1993,-23.45,1993,6,13
472,473,World,,WLD,Millimeters,World,06/23/1993,-18.65,1993,6,23
498,499,World,,WLD,Millimeters,World,07/03/1993,-15.35,1993,7,3
522,523,World,,WLD,Millimeters,World,07/13/1993,-15.95,1993,7,13
548,549,World,,WLD,Millimeters,World,08/02/1993,-22.75,1993,8,2
573,574,World,,WLD,Millimeters,World,08/12/1993,-18.55,1993,8,12
593,594,World,,WLD,Millimeters,World,08/21/1993,-13.15,1993,8,21
620,621,World,,WLD,Millimeters,World,08/31/1993,-8.05,1993,8,31
646,647,World,,WLD,Millimeters,World,09/10/1993,-8.75,1993,9,10
672,673,World,,WLD,Millimeters,World,09/20/1993,-13.85,1993,9,20
697,698,World,,WLD,Millimeters,World,09/30/1993,-13.25,1993,9,30
722,723,World,,WLD,Millimeters,World,10/10/1993,-7.75,1993,10,10
747,748,World,,WLD,Millimeters,World,10/20/1993,-8.05,1993,10,20
772,773,World,,WLD,Millimeters,World,11/09/1993,-5.15,1993,11,9
797,798,World,,WLD,Millimeters,World,11/19/1993,-11.75,1993,11,19
822,823,World,,WLD,Millimeters,World,11/29/1993,-13.35,1993,11,29
843,844,World,,WLD,Millimeters,World,12/08/1993,-12.15,1993,12,8
870,871,World,,WLD,Millimeters,World,12/18/1993,-5.85,1993,12,18
895,896,World,,WLD,Millimeters,World,12/28/1993,-5.25,1993,12,28
921,922,World,,WLD,Millimeters,World,01/07/1994,-15.15,1994,1,7
947,948,World,,WLD,Millimeters,World,01/17/1994,-16.15,1994,1,17
972,973,World,,WLD,Millimeters,World,01/27/1994,-18.55,1994,1,27
997,998,World,,WLD,Millimeters,World,02/06/1994,-20.85,1994,2,6
1022,1023,World,,WLD,Millimeters,World,02/16/1994,-19.75,1994,2,16
1047,1048,World,,WLD,Millimeters,World,02/26/1994,-13.75,1994,2,26
1073,1074,World,,WLD,Millimeters,World,03/08/1994,-13.25,1994,3,8
1094,1095,World,,WLD,Millimeters,World,03/27/1994,-18.35,1994,3,27
1119,1120,World,,WLD,Millimeters,World,04/06/1994,-16.15,1994,4,6
1146,1147,World,,WLD,Millimeters,World,04/16/1994,-14.05,1994,4,16
1172,1173,World,,WLD,Millimeters,World,04/26/1994,-11.55,1994,4,26
1197,1198,World,,WLD,Millimeters,World,05/06/1994,-15.35,1994,5,6
1222,1223,World,,WLD,Millimeters,World,05/16/1994,-20.25,1994,5,16
1247,1248,World,,WLD,Millimeters,World,05/26/1994,-23.35,1994,5,26
1272,1273,World,,WLD,Millimeters,World,06/05/1994,-20.45,1994,6,5
1297,1298,World,,WLD,Millimeters,World,06/15/1994,-14.05,1994,6,15
1319,1320,World,,WLD,Millimeters,World,07/04/1994,-20.15,1994,7,4
1344,1345,World,,WLD,Millimeters,World,07/14/1994,-18.45,1994,7,14
1371,1372,World,,WLD,Millimeters,World,07/24/1994,-20.45,1994,7,24
1396,1397,World,,WLD,Millimeters,World,08/03/1994,-15.55,1994,8,3
1422,1423,World,,WLD,Millimeters,World,08/13/1994,-11.65,1994,8,13
1447,1448,World,,WLD,Millimeters,World,08/23/1994,-7.25,1994,8,23
1472,1473,World,,WLD,Millimeters,World,09/02/1994,-8.45,1994,9,2
1497,1498,World,,WLD,Millimeters,World,09/12/1994,-9.45,1994,9,12
1523,1524,World,,WLD,Millimeters,World,09/22/1994,-10.85,1994,9,22
1547,1548,World,,WLD,Millimeters,World,10/02/1994,-8.65,1994,10,2
1572,1573,World,,WLD,Millimeters,World,10/12/1994,-6.25,1994,10,12
1589,1590,World,,WLD,Millimeters,World,10/21/1994,0.25,1994,10,21
1620,1621,World,,WLD,Millimeters,World,10/31/1994,-1.45,1994,10,31
1646,1647,World,,WLD,Millimeters,World,11/20/1994,-10.45,1994,11,20
1671,1672,World,,WLD,Millimeters,World,11/30/1994,-11.75,1994,11,30
1697,1698,World,,WLD,Millimeters,World,12/10/1994,-3.15,1994,12,10
